"workerid","nat","age","gender","race","region","gendCom","raceCom","regCom","genCom","name1","conttype2","context","trialtype","content","qtype","conttype","naturalness","comment","experiment"
"S_154","Y","30s","M","ASI","MW",NA,"","","","Prue","TRUE","c1","filler","base1c","res","TRUE",95,"","exp3b"
"S_154","Y","30s","M","ASI","MW",NA,"","","","Alice","c2","neut","mnpi","wink","evenq","c1",16,"","exp3b"
"S_154","Y","30s","M","ASI","MW",NA,"","","","Lydia","nopre","c1","filler","someclimb","noever","c2",2,"","exp3b"
"S_154","Y","30s","M","ASI","MW",NA,"","","","Matt","c2","neg","evenh","read","pq","c1",0,"","exp3b"
"S_154","Y","30s","M","ASI","MW",NA,"","","","Lily","c2","neut2","snpi","anything","evenpnq","c1",85,"","exp3b"
"S_154","Y","30s","M","ASI","MW",NA,"","","","Dean","TRUE","c1","filler","base2c","res","TRUE",100,"","exp3b"
"S_154","Y","30s","M","ASI","MW",NA,"","","","Carrie","c2","neg","evenl","inkling","pnq","c1",83,"","exp3b"
"S_384","Y","40s","F","CAU","MW",NA,"","","","Prue","TRUE","c1","filler","base1c","res","FALSE",100,"","exp3b"
"S_384","Y","40s","F","CAU","MW",NA,"","","","Lydia","nopre2","c1","filler","someclimb","noever2","c2",98,"","exp3b"
"S_384","Y","40s","F","CAU","MW",NA,"","","","Matt","c2","neg","evenh","solve","evenq","c1",98,"","exp3b"
"S_384","Y","40s","F","CAU","MW",NA,"","","","Dean","TRUE","c1","filler","base2c","res","TRUE",98,"","exp3b"
"S_384","Y","40s","F","CAU","MW",NA,"","","","Andrew","c2","neut","mnpi","clue","pq","c1",97,"","exp3b"
"S_384","Y","40s","F","CAU","MW",NA,"","","","Lily","c2","neut2","snpi","anything","pnq2","c1",99,"","exp3b"
"S_384","Y","40s","F","CAU","MW",NA,"","","","Jacob","c2","neg","evenl","smallest","evenpnq","c1",99,"","exp3b"
"S_316","Y","30s","F","CAU","SO",NA,"","","","Prue","TRUE","c1","filler","base1c","res","FALSE",87,"","exp3b"
"S_316","Y","30s","F","CAU","SO",NA,"","","","Jacob","c2","neut2","evenl","grain","evenpnq","c1",67,"","exp3b"
"S_316","Y","30s","F","CAU","SO",NA,"","","","Matt","c2","neut","evenh","solve","evenq","c1",64,"","exp3b"
"S_316","Y","30s","F","CAU","SO",NA,"","","","Lily","c2","neut","snpi","anything","pnq2","c1",65,"","exp3b"
"S_316","Y","30s","F","CAU","SO",NA,"","","","Andrew","c2","neg","mnpi","clue","pq","c1",87,"","exp3b"
"S_316","Y","30s","F","CAU","SO",NA,"","","","Lydia","yespre","c1","filler","someclimb","noever","c2",55,"","exp3b"
"S_316","Y","30s","F","CAU","SO",NA,"","","","Dean","TRUE","c1","filler","base2c","res","TRUE",86,"","exp3b"
"S_187","Y","30s","M","ASI","SW",NA,"","","","Prue","TRUE","c1","filler","base1c","res","FALSE",87,"","exp3b"
